惂搙	1101	110100	偼	1000	NONE	丄	E-S2
寷朄	1101	110110	寷朄	1101	110110	NO	I-E
忦	0101	NONE	忦	0101	NONE	NO	I-E
崁	0101	NONE	偵	1011	101110	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	NO	I-E
棟擮	1101	110100	偵	1011	101110	NO	I-E
婎偒	1001	100111	婎偒	1001	100111	丄	I-E
榁楊	1101	110111	榁楊	1101	110111	丄	I-E
枖偼	1010	101010	枖偼	1010	101010	NO	I-E
巰朣	1111	111101	偵傛偭偰	1010	101011	NO	I-E
惗妶	1101	110100	偺	1010	NONE	NO	I-E
埨掕	1101	110100	偑	1011	101111	NO	I-E
偦偙側傢	NewWord	NewWord	傟傞	1111	111110	NO	I-E
偙偲	1100	110010	傪	1011	101111	NO	I-E
崙柉	1101	110111	偺	1010	NONE	NO	I-E
楢懷	1111	111101	偵傛偭偰	1010	101011	NO	I-E
偟	1001	NONE	偟	1001	NONE	丄	I-E
傕偭偰	1111	111101	傕偭偰	1111	111101	NO	I-E
寬慡	1111	111101	側	1111	111111	NO	I-E
惗妶	1101	110100	偺	1010	NONE	NO	I-E
媦傃	1010	101010	媦傃	1010	101010	NO	I-E
岦忋	1101	110111	偵	1011	101110	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	NO	I-E
偙偲	1100	110010	傪	1011	101111	NO	I-E
栚揑	1101	110111	偲	1011	101101	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	丅	E-E

擭嬥	1101	110100	偼	1000	NONE	丄	E-S2
慜忦	1101	110110	偺	1010	NONE	NO	I-E
栚揑	1101	110111	傪	1011	101111	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	NO	I-E
偨傔	1101	110111	偨傔	1101	110111	丄	I-E
崙柉	1101	110111	偺	1010	NONE	NO	I-E
榁楊	1101	110111	榁楊	1101	110111	丄	I-E
枖偼	1010	101010	枖偼	1010	101010	NO	I-E
巰朣	1111	111101	偵娭偟偰	1010	101011	NO	I-E
昁梫	1111	111101	側	1111	111111	NO	I-E
媼晅	1101	110100	傪	1011	101111	NO	I-E
峴偆	1111	111110	峴偆	1111	111110	NO	I-E
傕偺	1100	110010	偲	1011	101101	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	丅	E-E

帠嬈	1101	110100	偼	1000	NONE	丄	E-S2
惌晎	1101	110111	偑	1011	101111	丄	I-E
偡傞	1111	111111	偡傞	1111	111111	丅	E-E

帠嬈	1101	110100	偺	1010	NONE	NO	I-S2
帠柋	1101	110100	偺	1010	NONE	NO	I-S2
堦晹	1101	110111	偼	1000	NONE	丄	E-S2
惌椷	1101	110101	偺	1010	NONE	NO	I-E
掕傔傞	1111	111110	掕傔傞	1111	111110	NO	I-E
偲偙傠	1101	110111	偵	1011	101110	NO	I-E
傛傝	1001	100111	傛傝	1001	100111	丄	I-E
朄棩	1101	110110	偵傛偭偰	1010	101011	NO	I-E
偝	1011	101101	偨	1110	111011	NO	I-E
慻崌	1101	110100	慻崌	1101	110100	丄	I-E
夛	1101	110110	夛	1101	110110	丄	I-E
夛	1101	110110	夛	1101	110110	丄	I-E
朄	1101	110110	偺	1010	NONE	NO	I-E
婯掕	1111	111101	偵傛傝	1111	111111	NO	I-E
惂搙	1101	110100	傪	1011	101111	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	NO	I-E
偙偲	1100	110010	偲	1011	101101	NO	I-E
偝	1011	101101	偨	1110	111011	NO	I-E
抍	1101	110111	偵	1011	101110	NO	I-E
峴傢	1001	100110	偣傞	1111	111110	NO	I-E
偙偲	1100	110010	偑	1011	101111	NO	I-E
偱偒傞	1111	111110	偱偒傞	1111	111110	丅	E-E

帠嬈	1101	110100	偺	1010	NONE	NO	I-S2
帠柋	1101	110100	偺	1010	NONE	NO	I-S2
堦晹	1101	110111	偼	1000	NONE	丄	E-S2
惌椷	1101	110101	偺	1010	NONE	NO	I-E
掕傔傞	1111	111110	掕傔傞	1111	111110	NO	I-E
偲偙傠	1101	110111	偵	1011	101110	NO	I-E
傛傝	1001	100111	傛傝	1001	100111	丄	I-E
挿	1101	110110	偑	1011	101111	NO	I-E
峴偆	1111	111110	峴偆	1111	111110	NO	I-E
偙偲	1100	110010	偲	1011	101101	NO	I-E
偡傞	1111	111111	偡傞	1111	111111	NO	I-E
偙偲	1100	110010	偑	1011	101111	NO	I-E
偱偒傞	1111	111110	偱偒傞	1111	111110	丅	E-E

偙偺	1101	110110	偙偺	1101	110110	NO	I-S2
朄棩	1101	110110	偵傛傞	1111	111111	NO	I-S2
擭嬥	1101	110100	偺	1010	NONE	NO	I-S2
妟	1101	110111	偼	1000	NONE	丄	E-S2
崙柉	1101	110111	偺	1010	NONE	NO	I-R
偦偺懠	1010	101011	偺	1010	NONE	NO	I-R
帠忣	1101	110111	偵	1011	101110	NO	I-R
挊偟偄	1111	111100	挊偟偄	1111	111100	NO	I-R
曄摦	1101	110111	偑	1011	101111	NO	I-R
惗偠	1001	100111	偨	1110	111011	NO	I-R
応崌	1100	110010	偼	1000	NONE	丄	E-R
屻	1101	110111	偺	1010	NONE	NO	I-E
帠忣	1101	110111	偵	1011	101110	NO	I-E
墳偢傞	1111	111100	墳偢傞	1111	111100	NO	I-E
偨傔	1101	110111	偨傔	1101	110111	丄	I-E
懍傗偐	1111	111101	偵	1011	101110	NO	I-E
夵掕	1111	111101	偺	1010	NONE	NO	I-E
慬抲	1101	110111	偑	1011	101111	NO	I-E
島偤	1111	111101	側偄	1111	111110	丅	E-E

帠嬈	1101	110100	偺	1010	NONE	NO	I-S2
嵿惌	1101	110101	偼	1000	NONE	丄	E-S2
揑	1111	111101	偵	1011	101110	NO	I-E
偦偺	1101	110101	偦偺	1101	110101	NO	I-E
嬒峵	1111	111101	偑	1011	101111	NO	I-E
曐偨	1011	101101	偨	1110	111011	NO	I-E
傕偺	1100	110010	側偄	1111	111110	NO	E-E

帠嬈	1101	110100	偺	1010	NONE	NO	I-S3
嵿惌	1101	110101	偼	1000	NONE	丄	E-S3
挊偟偔	1101	110101	挊偟偔	1101	110101	NO	I-R
偦偺	1101	110101	偦偺	1101	110101	NO	I-R
嬒峵	1111	111101	傪	1011	101111	NO	I-R
